EMITEN,TGL_BUY,HARGA_BUY,LOT,MODAL,TGL_SELL,HARGA_SELL,PL_PCT,PL_RP,STATUS,STATUS_DETAIL
ULTJ,2026-08-03,1470,340,49980000,,1515,3.06,1530000,OPEN,OPEN
INET,2026-08-03,234,2136,49982400,,238,1.71,854400,OPEN,OPEN
BMTR,2026-08-03,118,4237,49996600,2026-08-03,112,-5.08,-2542200,CLOSE,LOSS
HRUM,2026-08-03,835,598,49933000,2026-08-03,880,5.39,2691000,CLOSE,WIN
PIPA,2026-08-03,120,4166,49992000,,123,2.5,1249800,OPEN,OPEN
DOOH,2026-08-03,248,2016,49996800,2026-08-03,260,4.84,2419200,CLOSE,WIN
BUVA,2026-08-03,880,568,49984000,2026-08-03,835,-5.11,-2556000,CLOSE,LOSS
BGTG,2026-08-03,114,4385,49989000,,112,-1.75,-877000,OPEN,OPEN
KBLV,2026-08-03,132,3787,49988400,2026-08-04,125,-5.3,-2650900,CLOSE,LOSS
BELL,2026-08-03,120,4166,49992000,2026-08-03,114,-5.0,-2499600,CLOSE,LOSS
BUKA,2026-08-03,120,4166,49992000,,120,0.0,0,OPEN,OPEN
CTRA,2026-08-03,585,854,49959000,,585,0.0,0,OPEN,OPEN
DSNG,2026-08-03,1395,358,49941000,2026-08-03,1325,-5.02,-2506000,CLOSE,LOSS
DEWA,2026-08-03,470,1063,49961000,,462,-1.7,-850400,OPEN,OPEN
AMMN,2026-08-04,4280,116,49648000,,4280,0.0,0,OPEN,OPEN
MBMA,2026-08-04,515,970,49955000,2026-08-04,540,4.85,2425000,CLOSE,WIN
IRSX,2026-08-04,364,1373,49977200,,378,3.85,1922200,OPEN,OPEN
DOOH,2026-08-04,262,1908,49989600,2026-08-04,248,-5.34,-2671200,CLOSE,LOSS
AWAN,2026-08-04,165,3030,49995000,2026-08-04,156,-5.45,-2727000,CLOSE,LOSS
NIKL,2026-08-04,200,2500,50000000,,202,1.0,500000,OPEN,OPEN
BIPI,2026-08-04,150,3333,49995000,,150,0.0,0,OPEN,OPEN
ARCI,2026-08-04,1100,454,49940000,,1085,-1.36,-681000,OPEN,OPEN
DKFT,2026-08-04,690,724,49956000,,710,2.9,1448000,OPEN,OPEN
AYAM,2026-08-04,446,1121,49996600,,456,2.24,1121000,OPEN,OPEN
BBYB,2026-08-04,260,1923,49998000,,260,0.0,0,OPEN,OPEN
PSDN,2026-08-04,131,3816,49989600,2026-08-04,137,4.58,2289600,CLOSE,WIN
PMJS,2026-08-04,120,4166,49992000,,118,-1.67,-833200,OPEN,OPEN
